,jurisdiction,district type,num of districts,num of blocks,mean blocks per dist,max blocks per dist,num of pop blocks,pct blocks populated,mean pop blocks per dist,max pop blocks per dist,max abs difference,mean abs difference,mean difference,abs standard deviation,standard deviation,total map pop 2010,mean pop per dist 2010,max pop per dist 2010,stdev pop per dist 2010
0,Corpus Christi,City,5,5800,1160.0,1825,3722,64.17241379310344,744.4,914,0.2857677456667063,0.17760330854076684,-0.029715273796908137,0.07252140738577835,0.1895238566434728,304423.0,60884.6,63218.0,1566.8728857185574
1,Lytle,City,5,124,24.8,34,76,61.29032258064516,15.2,21,4.4921875,2.22911098264605,0.5034365319738333,1.430128573336442,2.6001452204637965,2492.0,498.4,513.0,15.9449051423958
2,Karnes City ISD,School District,7,667,95.28571428571429,178,352,52.7736131934033,50.285714285714285,73,12.682926829268293,4.896266759920975,0.9664814947075878,3.8852365702453397,6.1753060581210555,4259.0,608.4285714285714,627.0,19.470542899886652
3,Bexar Comm Ct,Commissioners Court,4,26452,6613.0,7844,17861,67.52230455164072,4465.25,5137,0.16221067231044628,0.08776534582765634,-0.0005480303813868298,0.05732980334326094,0.10482920367114386,1714773.0,428693.25,452937.0,17497.264205798
4,Judson ISD,School District,5,1464,292.8,384,988,67.4863387978142,197.6,217,1.262076769083471,0.8004765109132158,-0.8004765109132158,0.3128933254562883,0.3128933254562883,113801.0,22760.2,23496.0,480.8527425314324
5,San Antonio ISD,School District,7,687,98.14285714285714,169,451,65.64774381368268,64.42857142857143,91,1.251319161766923,0.5721687528389137,0.4006761885894236,0.4297226141159594,0.5928719918374828,44668.0,6381.142857142857,6633.0,183.17316441898717
6,San Antonio City,City,10,19277,1927.7,2910,13544,70.25989521191057,1354.4,2060,0.49745332414470506,0.18479878636407504,0.04924041664979882,0.13973559668252813,0.22638906729347916,1326563.0,132656.3,139300.0,5750.403082393443
7,Floresville ISD,School District,7,875,125.0,212,474,54.17142857142857,67.71428571428571,104,2.4212271973466004,1.4198031036430818,-0.728023904401196,0.704349789575403,1.4078105958579374,21588.0,3084.0,3209.0,63.13025084243347
8,Alvin City,City,5,556,111.2,192,413,74.28057553956835,82.6,145,2.2557905337361532,1.0363363373769228,0.2539122858000595,0.6558237969815246,1.1998443265586032,23937.0,4787.4,4965.0,138.79135419758683
9,Brewster Comm Ct/Con/JP,Comm Ct/Con/JP,3,3390,1130.0,1667,760,22.418879056047196,253.33333333333334,525,3.9697542533081283,1.795610422650455,1.5203484798339038,1.5561881557206099,1.8260555483891494,9232.0,3077.3333333333335,7508.0,3144.7304424315216
10,Caldwell Comm Ct/JP,Comm Ct/JP,4,2690,672.5,1368,1230,45.72490706319702,307.5,526,0.7919920800791992,0.38364601245613034,0.012350027583469276,0.267090754183917,0.46729991511096,38066.0,9516.5,9729.0,253.5167647316445
11,Hayes ISD,School District,5,1293,258.6,310,856,66.20262954369683,171.2,207,0.3787878787878788,0.1919773929212785,-0.1487174469962109,0.12456786176556159,0.17394134797863392,67497.0,13499.4,13979.0,362.4652259182941
12,Lockhart ISD,School Districts,4,1137,284.25,469,633,55.67282321899736,158.25,231,1.3888888888888888,1.0461620514209362,0.3336833525848516,0.34419005198626795,1.0495605032237565,22665.0,5666.25,5836.0,156.4199076204816
13,Luling,City,5,447,89.4,103,277,61.96868008948546,55.4,69,4.131455399061033,1.946964706616648,-0.5587425116788877,1.4102416543441954,2.3382172478409853,5411.0,1082.2,1099.0,11.124747188138704
14,Dimmit City,City,7,1094,156.28571428571428,552,357,32.63254113345521,51.0,119,3.7453183520599254,1.7746811003886585,-0.4978483027318097,1.3893671261459493,2.1981767642204777,5518.0,788.2857142857143,801.0,7.553888037944164
15,McKinney ISD,School District,5,2368,473.6,768,1446,61.064189189189186,289.2,511,0.474158368895211,0.2287333938641277,0.02287484096337141,0.1520250282248035,0.2736920099788354,111017.0,22203.4,23199.0,602.8763057211653
16,Concho Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,1204,301.0,352,335,27.823920265780732,83.75,91,6.991869918699186,4.725314097651809,1.688601934252989,1.9199917822074761,4.8128562489283055,2531.0,632.75,644.0,10.848386976873567
17,Ralls ISD,School District,5,660,132.0,350,271,41.060606060606055,54.2,91,6.595744680851063,5.096846118164313,0.5135244722076785,1.29273481820482,5.2330962420816896,2334.0,466.8,478.0,6.43117407632541
18,Dawson Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2817,704.25,889,895,31.771388001419947,223.75,289,2.557108762359359,1.318313115820951,0.022792328126171157,0.9400508078082865,1.618989037141742,11761.0,2940.25,2956.0,12.028611723719408
19,Spur,City,3,139,46.333333333333336,62,88,63.30935251798561,29.333333333333332,34,10.882352941176471,7.728539613332548,-0.4736376525482342,2.2511773253818803,8.035781933281449,1006.0,335.3333333333333,340.0,4.642796092394707
20,Ector Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,4616,1154.0,1807,2930,63.47487001733102,732.5,1040,0.25909821907201147,0.21760396129328272,-0.004901149068998599,0.04092413242322366,0.22136451233864354,137130.0,34282.5,35035.0,578.7384988058078
21,Houston Comm Coll Dist,Community College,9,32911,3656.777777777778,5553,18712,56.856370210567896,2079.1111111111113,3018,0.47802018188346385,0.19941403520778023,0.14016034917355666,0.12113145838538349,0.18653113458070847,1701083.0,189009.22222222222,196070.0,4438.5477048686835
22,Gaines Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2958,739.5,1124,811,27.417173766058145,202.75,261,0.8912655971479502,0.6496179122319881,0.033142289056646346,0.21123227754511384,0.6822932622015468,17526.0,4381.5,4488.0,68.75499981819505
23,Galviston Cons/JP,Cons/JP,5,9595,1919.0,4294,5865,61.12558624283481,1173.0,2582,0.4137360364087712,0.2981463151498983,0.11568528837922099,0.08894268180121559,0.2888233715198118,291309.0,58261.8,88852.0,34787.45873098522
24,Galviston Comm Ct,Commissioners Court,4,9595,2398.75,3620,5865,61.12558624283481,1466.25,2241,0.6481366072541443,0.384047442584678,-0.0032580291373365683,0.18973876391892822,0.4283487153423651,291309.0,72827.25,73462.0,506.40219934356526
25,Guadalupe Groundwater Dists,Groundwater,7,1655,236.42857142857142,581,949,57.34138972809668,135.57142857142858,195,2.3674911660777385,1.0567645323712396,0.6417183490590984,0.7898560737637809,1.1527451819982617,40591.0,5798.714285714285,6009.0,127.61405462869483
26,Hale Comm Ct/Con/JP,Comm Ct/Con/JP,2,3464,1732.0,1762,1702,49.13394919168591,851.0,895,0.2215770171149144,0.16257027196187276,0.059006745153041634,0.059006745153041634,0.16257027196187276,34331.0,17165.5,21243.0,4077.5
27,Plainview ISD,School District,7,1872,267.42857142857144,595,1018,54.380341880341874,145.42857142857142,246,3.263871453678132,1.4575718872978756,-0.19588956367190496,0.9232946344346397,1.7142392095216223,27043.0,3863.285714285714,3986.0,85.32913467561825
28,Harris Comm Ct,Commissioners Court,4,75406,18851.5,24148,39567,52.47195183407156,9891.75,11812,0.13712523516291225,0.10587329601938095,0.0014328513925934705,0.023364828251751946,0.10841133218500765,4092459.0,1023114.75,1051201.0,18240.06497212935
29,Kyle City,City,3,455,151.66666666666666,181,340,74.72527472527473,113.33333333333333,142,1.3468938977460143,0.9181718161637503,-0.3918906504509682,0.3111068478393807,0.8867066441947483,29136.0,9712.0,10914.0,1191.6744521890196
30,Hockley Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,4295,1073.75,1547,1328,30.919674039580908,332.0,353,1.810829817158931,0.8966543286170898,-0.008760579962375725,0.5934314598789641,1.075208414606473,22935.0,5733.75,5788.0,35.611620294504995
31,Howard Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2719,679.75,1963,1206,44.354542111070245,603.0,1006,inf,,,,,29427.0,7356.75,26089.0,10900.585795612087
32,Karnes Comm Ct,Commissioners Court,4,1508,377.0,441,838,55.57029177718833,209.5,229,0.8849557522123894,0.4478387660902,0.06548572709002945,0.312565211736071,0.5421883358652212,11560.0,2890.0,3093.0,117.22201158485551
33,Kleberg Comm Ct,Commissioners Court,4,1508,377.0,441,838,55.57029177718833,209.5,229,0.8849557522123894,0.4478387660902,0.06548572709002945,0.312565211736071,0.5421883358652212,11560.0,2890.0,3093.0,117.22201158485551
34,Waco ISD,School District,5,2773,554.6,721,2034,73.35016227912008,406.8,516,0.5521650682941005,0.3621191033870045,-0.2527351079926464,0.13495533947814686,0.29234936955535795,102757.0,20551.4,20844.0,199.63927469313245
35,Moore Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,1922,480.5,661,634,32.98647242455775,158.5,199,1.0435737824972537,0.6690439003850434,-0.04268510374346775,0.35822395009321784,0.7577084670117059,21904.0,5476.0,5637.0,130.78799639110616
36,Daingerfield-Lone Star ISD,School District,5,643,128.6,163,352,54.74339035769829,70.4,84,2.8901734104046244,1.2982328637283909,0.042537098570276946,0.9264058172930209,1.5943107921681992,8514.0,1702.8,1751.0,52.84467806695391
37,Sweetwater,City,4,786,196.5,369,525,66.79389312977099,131.25,211,2.04828090709583,0.8752210527133367,-0.14891940083457833,0.7805556463565835,1.1632291348770694,10906.0,2726.5,2777.0,33.737960815674676
38,Ochiltree Comm Ct,Commissioners Court,4,896,224.0,264,499,55.69196428571429,124.75,146,1.9238319591676483,1.2035797533127244,0.03360166079725002,0.5152084636399744,1.3087837529486097,10223.0,2555.75,2578.0,13.5531361684298
39,Reagan Hospital Dist,Hospital,4,1183,295.75,444,247,20.87912087912088,61.75,76,3.587962962962963,2.0068157406942078,0.21283425921272664,0.9491419630909163,2.209724295314574,3367.0,841.75,864.0,22.18529918662356
40,Sterling ISD,School Districts,5,1000,200.0,558,145,14.499999999999998,29.0,40,9.210526315789473,4.9079178000925126,-0.687830463847971,2.8057936511150845,5.611330002602354,1143.0,228.6,231.0,2.0591260281974
41,Sonora IDS,School Districts,4,1224,306.0,397,271,22.14052287581699,67.75,74,2.3032629558541267,1.703629585785494,-0.17605825823437043,0.576354078518546,1.7898439259041823,4128.0,1032.0,1064.0,24.48468909339059
42,Tulia City,City,4,261,65.25,95,195,74.71264367816092,48.75,67,3.2169117647058822,2.1345360984986033,-0.7646730847999731,1.1636196253172677,2.3077110004503663,4360.0,1090.0,1095.0,4.301162633521313
43,Terry Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2288,572.0,738,729,31.86188811188811,182.25,204,3.3367381681988424,2.02146814278525,-0.05047632835630622,1.097842614237238,2.2997921641327865,11785.0,2946.25,2974.0,21.370248009791556
44,Titus Comm Ct/Cons/JP,Comm Ct/Cons/JP,2,1664,832.0,1100,853,51.262019230769226,426.5,624,0.14884644008930786,0.10738300910200396,-0.0414634309873039,0.0414634309873039,0.10738300910200396,32334.0,16167.0,24272.0,8105.0
45,Austen ISD,School Districts,7,8708,1244.0,1549,6196,71.15296279283417,885.1428571428571,1016,0.5587892898719441,0.2487507511682046,0.1243264127553901,0.14321249844159162,0.25870774825660964,635931.0,90847.28571428571,94490.0,2592.121123398239
46,Upton Comm Ct/Cons/JP,Comm Ct/Cons/JP,4,2106,526.5,848,310,14.719848053181387,77.5,105,8.92018779342723,5.362135486702892,0.29963195143505894,3.2769963722583193,6.277055272596526,3355.0,838.75,852.0,8.98262211161084
47,Victoria Groundwater Dist,Groundwater,4,3345,836.25,1190,1911,57.13004484304933,477.75,692,0.504938654382779,0.26040581687352743,-0.015446571628248806,0.1783587012681503,0.31525294479919413,86384.0,21596.0,22577.0,571.2989585147167
48,Wharton City,City,4,564,141.0,247,278,49.29078014184397,69.5,92,1.724941724941725,0.7926506713927999,0.06982019107806253,0.6024707212013234,0.9931722900293393,8832.0,2208.0,2271.0,56.87266478722445
